"FECcommittee","icpsr","first","last","fullname","state","chamber","district","party","start","end","twitter","twitter_lower","fold","num.tweets","done.handle.no.file","missing","tweets.svd","prop.tweets","has.alt","multiple.dist","alt.dist","dup.account","female","Official","c111th","c112th","c113th","c114th","c115th","c116th","c117th","user_id","screen_name","name"
"C00563940",21522,"ralph","abraham","ralphabraham","LA","House","5","R","1/6/2015","1/3/2019","repabraham","repabraham",1,306,0,0,253,0.827,1,NA,NA,NA,0,1,0,0,0,1,1,1,0,"2962891515","RepAbraham","Rep. Ralph Abraham"
"C00563941",21522,"ralph","abraham","ralphabraham","LA","House","5","R","1/6/2015","1/3/2019","abraham_ralph","abraham_ralph",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,1,1,1,0,NA,NA,NA
"C00165241",15000,"gary","ackerman","garyackerman","NY","House","5","D","1/3/1983","1/3/2013","repgaryackerman","repgaryackerman",5,281,0,0,255,0.907,0,NA,NA,NA,0,1,1,1,0,0,0,0,0,"92102359","RepGaryAckerman","Gary Ackerman"
"C00546358",21545,"alma","adams","almaadams","NC","House","12","D","11/12/2014","1/3/2019","repadams","repadams",0,2626,0,0,1838,0.7,1,NA,NA,NA,1,1,0,0,1,1,1,1,1,"2916086925","RepAdams","Rep. Alma Adams"
"C00546358",21545,"alma","adams","almaadams","NC","House","12","D","11/12/2014","1/3/2019","AlmaforCongress","almaforcongress",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,0,0,0,1,1,1,1,1,"1609364557","AlmaforCongress","Alma Adams"
"C00463877",21120,"sandy","adams","sandyadams","FL","House","24","R","1/5/2011","1/3/2013","repsandyadams","repsandyadams",2,304,0,0,279,0.918,0,NA,NA,NA,1,1,0,1,0,0,0,0,0,"221447516","RepSandyAdams","Rep Sandy Adams"
"C00313247",29701,"robert","aderholt","robertaderholt","AL","House","4","R","1/7/1997","1/3/2019","robert_aderholt","robert_aderholt",5,1270,0,0,1126,0.887,0,NA,NA,NA,0,0,1,1,1,1,1,1,1,"76452765","Robert_Aderholt","Robert Aderholt"
"C00510461",21506,"pete","aguilar","peteaguilar","CA","House","31","D","1/6/2015","1/3/2019","aguilarpete","aguilarpete",0,722,0,0,52,0.072,1,NA,NA,NA,0,0,0,0,0,1,1,1,1,"41533245","aguilarpete","Pete Aguilar"
"C00510461",21506,"pete","aguilar","peteaguilar","CA","House","31","D","1/6/2015","1/3/2019","AguilarCampaign","aguilarcampaign",NA,NA,NA,NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,1,1,1,1,NA,NA,NA
"C00510461",21506,"pete","aguilar","peteaguilar","CA","House","31","D","1/6/2015","1/3/2019","reppeteaguilar","reppeteaguilar",2,978,0,0,777,0.794,1,NA,NA,NA,0,1,0,0,0,1,1,1,1,"3018670151","RepPeteAguilar","Rep. Pete Aguilar"
